timestamp,availableReplicas,readyReplicas
2025-08-14T18:05:04,478507379+00:00,1,1
2025-08-14T18:05:05,753769856+00:00,1,1
2025-08-14T18:05:07,028882810+00:00,1,1
2025-08-14T18:05:08,290597079+00:00,1,1
2025-08-14T18:05:09,577409338+00:00,1,1
2025-08-14T18:05:10,835428658+00:00,1,1
2025-08-14T18:05:12,115680018+00:00,1,1
2025-08-14T18:05:13,369639813+00:00,1,1
2025-08-14T18:05:14,655433070+00:00,1,1
2025-08-14T18:05:15,917928832+00:00,1,1
2025-08-14T18:05:17,183472241+00:00,1,1
2025-08-14T18:05:18,466938265+00:00,1,1
2025-08-14T18:05:19,735316663+00:00,1,1
2025-08-14T18:05:20,974147074+00:00,1,1
2025-08-14T18:05:22,231702009+00:00,1,1
2025-08-14T18:05:23,477783488+00:00,1,1
2025-08-14T18:05:24,732144392+00:00,1,1
2025-08-14T18:05:25,963261588+00:00,1,1
2025-08-14T18:05:27,234563446+00:00,1,1
2025-08-14T18:05:28,481900944+00:00,1,1
2025-08-14T18:05:29,748446493+00:00,1,1
2025-08-14T18:05:30,993622004+00:00,1,1
2025-08-14T18:05:32,270887172+00:00,1,1
2025-08-14T18:05:33,541339541+00:00,1,1
2025-08-14T18:05:34,789472862+00:00,1,1
2025-08-14T18:05:36,071074105+00:00,1,1
2025-08-14T18:05:37,344800991+00:00,1,1
2025-08-14T18:05:38,619540996+00:00,1,1
2025-08-14T18:05:39,850740754+00:00,1,1
2025-08-14T18:05:41,098848038+00:00,1,1
2025-08-14T18:05:42,348267724+00:00,1,1
2025-08-14T18:05:43,607452860+00:00,1,1
2025-08-14T18:05:44,855841307+00:00,1,1
2025-08-14T18:05:46,096303187+00:00,1,1
2025-08-14T18:05:47,372388425+00:00,1,1
2025-08-14T18:05:48,634152444+00:00,1,1
2025-08-14T18:05:49,892132869+00:00,1,1
2025-08-14T18:05:51,149739511+00:00,1,1
2025-08-14T18:05:52,378035167+00:00,1,1
2025-08-14T18:05:53,622646595+00:00,1,1
2025-08-14T18:05:54,876395909+00:00,1,1
2025-08-14T18:05:56,163810604+00:00,1,1
2025-08-14T18:05:57,422352835+00:00,1,1
2025-08-14T18:05:58,698525808+00:00,1,1
2025-08-14T18:05:59,959600836+00:00,1,1
2025-08-14T18:06:01,181205170+00:00,1,1
2025-08-14T18:06:02,407606514+00:00,1,1
2025-08-14T18:06:03,652320689+00:00,1,1
2025-08-14T18:06:04,923525770+00:00,1,1
2025-08-14T18:06:06,160416116+00:00,1,1
2025-08-14T18:06:07,419729628+00:00,1,1
2025-08-14T18:06:08,695605678+00:00,1,1
2025-08-14T18:06:09,949224284+00:00,4,4
2025-08-14T18:06:11,207567495+00:00,5,5
2025-08-14T18:06:12,453658688+00:00,5,5
2025-08-14T18:06:13,712838883+00:00,6,6
2025-08-14T18:06:14,958355089+00:00,7,7
2025-08-14T18:06:16,200093275+00:00,9,9
2025-08-14T18:06:17,757847648+00:00,9,9
2025-08-14T18:06:18,990963209+00:00,11,11
2025-08-14T18:06:20,230937492+00:00,11,11
2025-08-14T18:06:21,529072865+00:00,11,11
2025-08-14T18:06:22,818123920+00:00,11,11
2025-08-14T18:06:24,132265922+00:00,11,11
2025-08-14T18:06:25,421426733+00:00,11,11
2025-08-14T18:06:26,721205333+00:00,11,11
2025-08-14T18:06:28,055513957+00:00,11,11
2025-08-14T18:06:29,421858967+00:00,11,11
2025-08-14T18:06:30,750376149+00:00,11,11
2025-08-14T18:06:32,127187081+00:00,11,11
2025-08-14T18:06:33,519311712+00:00,11,11
2025-08-14T18:06:34,983669228+00:00,11,11
2025-08-14T18:06:36,414472366+00:00,11,11
2025-08-14T18:06:37,785415972+00:00,11,11
2025-08-14T18:06:39,186967978+00:00,11,11
2025-08-14T18:06:40,507602026+00:00,11,11
2025-08-14T18:06:41,851550957+00:00,11,11
2025-08-14T18:06:43,241606316+00:00,11,11
2025-08-14T18:06:44,675246325+00:00,11,11
2025-08-14T18:06:46,132731462+00:00,11,11
2025-08-14T18:06:48,553198893+00:00,11,11
2025-08-14T18:06:50,213183838+00:00,11,11
2025-08-14T18:06:51,525349725+00:00,11,11
2025-08-14T18:06:52,867706710+00:00,11,11
2025-08-14T18:06:54,218600396+00:00,11,11
2025-08-14T18:06:55,869343825+00:00,11,11
2025-08-14T18:06:57,185718576+00:00,11,11
2025-08-14T18:06:58,522833604+00:00,11,11
2025-08-14T18:06:59,855441591+00:00,11,11
2025-08-14T18:07:01,177104167+00:00,11,11
2025-08-14T18:07:02,549645111+00:00,11,11
2025-08-14T18:07:03,943831882+00:00,11,11
2025-08-14T18:07:05,256427591+00:00,11,11
2025-08-14T18:07:06,620820610+00:00,11,11
2025-08-14T18:07:07,940428212+00:00,11,11
2025-08-14T18:07:09,254313310+00:00,11,11
2025-08-14T18:07:10,641078596+00:00,11,11
2025-08-14T18:07:11,978135634+00:00,11,11
2025-08-14T18:07:13,376121409+00:00,11,11
2025-08-14T18:07:14,809612134+00:00,11,11
2025-08-14T18:07:16,139829374+00:00,11,11
2025-08-14T18:07:17,489408070+00:00,11,11
2025-08-14T18:07:18,870868244+00:00,11,11
2025-08-14T18:07:20,186620684+00:00,11,11
2025-08-14T18:07:21,636968219+00:00,11,11
2025-08-14T18:07:22,985076489+00:00,11,11
2025-08-14T18:07:24,288336393+00:00,11,11
2025-08-14T18:07:25,585144273+00:00,11,11
2025-08-14T18:07:26,903236500+00:00,11,11
2025-08-14T18:07:28,159210582+00:00,11,11
2025-08-14T18:07:29,441148959+00:00,15,15
2025-08-14T18:07:30,695741211+00:00,18,18
2025-08-14T18:07:31,950429167+00:00,19,19
2025-08-14T18:07:33,210665192+00:00,21,21
2025-08-14T18:07:34,456275801+00:00,23,23
2025-08-14T18:07:35,697431518+00:00,24,24
2025-08-14T18:07:36,943155057+00:00,24,24
2025-08-14T18:07:38,204756544+00:00,24,24
2025-08-14T18:07:39,482754859+00:00,24,24
2025-08-14T18:07:40,714592466+00:00,24,24
2025-08-14T18:07:41,972077112+00:00,24,24
2025-08-14T18:07:43,208017550+00:00,24,24
2025-08-14T18:07:44,451434202+00:00,24,24
2025-08-14T18:07:45,695882607+00:00,24,24
2025-08-14T18:07:46,967429646+00:00,24,24
2025-08-14T18:07:48,214325398+00:00,24,24
2025-08-14T18:07:49,503405822+00:00,24,24
2025-08-14T18:07:50,754950574+00:00,24,24
2025-08-14T18:07:52,022999391+00:00,24,24
2025-08-14T18:07:53,277601240+00:00,24,24
2025-08-14T18:07:54,545963534+00:00,24,24
2025-08-14T18:07:55,829094812+00:00,24,24
2025-08-14T18:07:57,069301435+00:00,24,24
2025-08-14T18:07:58,322439926+00:00,24,24
2025-08-14T18:07:59,592593174+00:00,24,24
2025-08-14T18:08:00,832284478+00:00,24,24
2025-08-14T18:08:02,103574469+00:00,24,24
2025-08-14T18:08:03,357371122+00:00,24,24
2025-08-14T18:08:04,632649575+00:00,24,24
2025-08-14T18:08:05,892236192+00:00,24,24
2025-08-14T18:08:07,159362537+00:00,24,24
2025-08-14T18:08:08,422336867+00:00,24,24
2025-08-14T18:08:09,672523709+00:00,24,24
2025-08-14T18:08:10,929066125+00:00,24,24
2025-08-14T18:08:12,194428984+00:00,24,24
2025-08-14T18:08:13,440797458+00:00,24,24
2025-08-14T18:08:14,703082287+00:00,24,24
2025-08-14T18:08:15,977231319+00:00,24,24
2025-08-14T18:08:17,250673761+00:00,24,24
2025-08-14T18:08:18,494953943+00:00,24,24
2025-08-14T18:08:19,766371991+00:00,24,24
2025-08-14T18:08:21,026928838+00:00,24,24
2025-08-14T18:08:22,296398292+00:00,24,24
2025-08-14T18:08:23,587189580+00:00,24,24
2025-08-14T18:08:24,875181088+00:00,24,24
2025-08-14T18:08:26,133040933+00:00,24,24
2025-08-14T18:08:27,408900681+00:00,24,24
2025-08-14T18:08:28,659244882+00:00,24,24
2025-08-14T18:08:29,878477830+00:00,24,24
2025-08-14T18:08:31,123117331+00:00,24,24
2025-08-14T18:08:32,355488147+00:00,24,24
2025-08-14T18:08:33,614154982+00:00,24,24
2025-08-14T18:08:34,882872407+00:00,24,24
2025-08-14T18:08:36,119396087+00:00,24,24
2025-08-14T18:08:37,361463899+00:00,24,24
2025-08-14T18:08:38,611547629+00:00,24,24
2025-08-14T18:08:39,838042259+00:00,24,24
2025-08-14T18:08:41,086496930+00:00,24,24
2025-08-14T18:08:42,357273775+00:00,24,24
2025-08-14T18:08:43,603975326+00:00,24,24
2025-08-14T18:08:44,838428243+00:00,24,24
2025-08-14T18:08:46,105197077+00:00,24,24
2025-08-14T18:08:47,370458203+00:00,24,24
2025-08-14T18:08:48,640741040+00:00,24,24
2025-08-14T18:08:49,868844474+00:00,24,24
2025-08-14T18:08:51,100492354+00:00,24,24
2025-08-14T18:08:52,363332320+00:00,24,24
2025-08-14T18:08:53,602459210+00:00,24,24
2025-08-14T18:08:54,831699962+00:00,24,24
2025-08-14T18:08:56,084471678+00:00,24,24
2025-08-14T18:08:57,310649048+00:00,24,24
2025-08-14T18:08:58,569517882+00:00,24,24
2025-08-14T18:08:59,814411158+00:00,24,24
2025-08-14T18:09:01,039314111+00:00,24,24
2025-08-14T18:09:02,283395781+00:00,24,24
2025-08-14T18:09:03,583641773+00:00,24,24
2025-08-14T18:09:04,817569671+00:00,24,24
2025-08-14T18:09:06,076896044+00:00,24,24
2025-08-14T18:09:07,341741105+00:00,24,24
2025-08-14T18:09:08,592875440+00:00,24,24
2025-08-14T18:09:09,834852896+00:00,24,24
2025-08-14T18:09:11,094750604+00:00,24,24
