timestamp,availableReplicas,readyReplicas
2025-08-14T20:32:40,638609035+00:00,0,0
2025-08-14T20:32:41,911061294+00:00,0,0
2025-08-14T20:32:43,156872205+00:00,0,0
2025-08-14T20:32:44,402493356+00:00,0,0
2025-08-14T20:32:45,685741162+00:00,0,0
2025-08-14T20:32:46,949049741+00:00,0,0
2025-08-14T20:32:48,242219946+00:00,0,0
2025-08-14T20:32:49,474613985+00:00,0,0
2025-08-14T20:32:50,745495986+00:00,0,0
2025-08-14T20:32:51,974768695+00:00,0,0
2025-08-14T20:32:53,263257392+00:00,0,0
2025-08-14T20:32:54,493359251+00:00,0,0
2025-08-14T20:32:55,758718098+00:00,0,0
2025-08-14T20:32:57,024933401+00:00,0,0
2025-08-14T20:32:58,298262433+00:00,0,0
2025-08-14T20:32:59,562095001+00:00,0,0
2025-08-14T20:33:00,793207013+00:00,0,0
2025-08-14T20:33:02,036679511+00:00,0,0
2025-08-14T20:33:03,279416314+00:00,0,0
2025-08-14T20:33:04,524499960+00:00,0,0
2025-08-14T20:33:05,769426288+00:00,0,0
2025-08-14T20:33:06,994941280+00:00,0,0
2025-08-14T20:33:08,256881501+00:00,0,0
2025-08-14T20:33:09,475527703+00:00,0,0
2025-08-14T20:33:10,752608995+00:00,0,0
2025-08-14T20:33:11,990614923+00:00,0,0
2025-08-14T20:33:13,221986220+00:00,0,0
2025-08-14T20:33:14,472087683+00:00,0,0
2025-08-14T20:33:15,731706673+00:00,0,0
2025-08-14T20:33:16,975766022+00:00,0,0
2025-08-14T20:33:18,227295483+00:00,0,0
2025-08-14T20:33:19,480152229+00:00,0,0
2025-08-14T20:33:20,730660373+00:00,0,0
2025-08-14T20:33:21,983309610+00:00,0,0
2025-08-14T20:33:23,256288218+00:00,0,0
2025-08-14T20:33:24,515205504+00:00,0,0
2025-08-14T20:33:25,781107564+00:00,0,0
2025-08-14T20:33:27,039905805+00:00,0,0
2025-08-14T20:33:28,296827833+00:00,0,0
2025-08-14T20:33:29,561691588+00:00,0,0
2025-08-14T20:33:30,815880485+00:00,0,0
2025-08-14T20:33:32,071791694+00:00,0,0
2025-08-14T20:33:33,365030965+00:00,0,0
2025-08-14T20:33:34,625781204+00:00,0,0
2025-08-14T20:33:35,905480149+00:00,0,0
2025-08-14T20:33:37,150784378+00:00,0,0
2025-08-14T20:33:38,414124010+00:00,0,0
2025-08-14T20:33:39,676068808+00:00,0,0
2025-08-14T20:33:40,933199158+00:00,0,0
2025-08-14T20:33:42,183414888+00:00,0,0
2025-08-14T20:33:43,463016527+00:00,0,0
2025-08-14T20:33:44,715432924+00:00,0,0
2025-08-14T20:33:45,994507326+00:00,0,0
2025-08-14T20:33:47,267132490+00:00,0,0
2025-08-14T20:33:48,492451731+00:00,0,0
2025-08-14T20:33:49,758720379+00:00,0,0
2025-08-14T20:33:51,029129625+00:00,0,0
2025-08-14T20:33:52,303096866+00:00,0,0
2025-08-14T20:33:53,516153380+00:00,1,1
2025-08-14T20:33:54,788210722+00:00,1,1
2025-08-14T20:33:56,035952743+00:00,1,1
2025-08-14T20:33:57,277921878+00:00,1,1
2025-08-14T20:33:58,530581160+00:00,2,2
2025-08-14T20:33:59,784348189+00:00,2,2
2025-08-14T20:34:01,049174468+00:00,2,2
2025-08-14T20:34:02,294304839+00:00,2,2
2025-08-14T20:34:03,540202175+00:00,2,2
2025-08-14T20:34:04,771024657+00:00,2,2
2025-08-14T20:34:06,037559100+00:00,2,2
2025-08-14T20:34:07,257517952+00:00,2,2
2025-08-14T20:34:08,488132635+00:00,2,2
2025-08-14T20:34:09,748285907+00:00,2,2
2025-08-14T20:34:10,982915109+00:00,2,2
2025-08-14T20:34:12,243082719+00:00,2,2
2025-08-14T20:34:13,496046188+00:00,2,2
2025-08-14T20:34:14,763054737+00:00,2,2
2025-08-14T20:34:16,000794763+00:00,2,2
2025-08-14T20:34:17,249555233+00:00,2,2
2025-08-14T20:34:18,482372160+00:00,2,2
2025-08-14T20:34:19,736439422+00:00,2,2
2025-08-14T20:34:20,961974776+00:00,2,2
2025-08-14T20:34:22,207939440+00:00,2,2
2025-08-14T20:34:23,467442039+00:00,2,2
2025-08-14T20:34:24,715213586+00:00,2,2
