timestamp,availableReplicas,readyReplicas
2025-08-14T21:48:28,958017647+00:00,1,1
2025-08-14T21:48:30,230930351+00:00,1,1
2025-08-14T21:48:31,465304882+00:00,1,1
2025-08-14T21:48:32,733077050+00:00,1,1
2025-08-14T21:48:33,961777580+00:00,1,1
2025-08-14T21:48:35,221910988+00:00,1,1
2025-08-14T21:48:36,472768586+00:00,1,1
2025-08-14T21:48:37,715670851+00:00,1,1
2025-08-14T21:48:38,947130329+00:00,1,1
2025-08-14T21:48:40,211581520+00:00,1,1
2025-08-14T21:48:41,469904195+00:00,1,1
2025-08-14T21:48:42,707040947+00:00,1,1
2025-08-14T21:48:43,967655625+00:00,1,1
2025-08-14T21:48:45,223299741+00:00,1,1
2025-08-14T21:48:46,488243271+00:00,1,1
2025-08-14T21:48:47,723441305+00:00,1,1
2025-08-14T21:48:48,981938255+00:00,1,1
2025-08-14T21:48:50,263023563+00:00,1,1
2025-08-14T21:48:51,523040927+00:00,1,1
2025-08-14T21:48:52,768412882+00:00,1,1
2025-08-14T21:48:53,979385608+00:00,1,1
2025-08-14T21:48:55,237507942+00:00,1,1
2025-08-14T21:48:56,493680758+00:00,1,1
2025-08-14T21:48:57,769495869+00:00,1,1
2025-08-14T21:48:59,015657611+00:00,1,1
2025-08-14T21:49:00,297217962+00:00,1,1
2025-08-14T21:49:01,574653610+00:00,1,1
2025-08-14T21:49:02,845731139+00:00,1,1
2025-08-14T21:49:04,093595364+00:00,1,1
2025-08-14T21:49:05,356832130+00:00,1,1
2025-08-14T21:49:06,647357441+00:00,1,1
2025-08-14T21:49:07,949408106+00:00,1,1
2025-08-14T21:49:09,219557447+00:00,1,1
2025-08-14T21:49:10,508700423+00:00,1,1
2025-08-14T21:49:11,735688714+00:00,1,1
2025-08-14T21:49:13,021281300+00:00,1,1
2025-08-14T21:49:14,347027585+00:00,1,1
2025-08-14T21:49:15,607810718+00:00,1,1
2025-08-14T21:49:16,866367291+00:00,1,1
2025-08-14T21:49:18,124663641+00:00,1,1
2025-08-14T21:49:19,409127487+00:00,1,1
2025-08-14T21:49:20,668205167+00:00,1,1
2025-08-14T21:49:21,936847630+00:00,1,1
2025-08-14T21:49:23,221720438+00:00,1,1
2025-08-14T21:49:24,508128300+00:00,1,1
2025-08-14T21:49:25,758448487+00:00,1,1
2025-08-14T21:49:27,063771243+00:00,1,1
2025-08-14T21:49:28,319356722+00:00,1,1
2025-08-14T21:49:29,576727240+00:00,1,1
2025-08-14T21:49:30,863524224+00:00,1,1
2025-08-14T21:49:32,164116912+00:00,1,1
2025-08-14T21:49:33,407994692+00:00,1,1
2025-08-14T21:49:34,666394080+00:00,1,1
2025-08-14T21:49:36,118618170+00:00,0,0
2025-08-14T21:49:37,591061107+00:00,0,0
2025-08-14T21:49:38,862055859+00:00,0,0
2025-08-14T21:49:40,128459261+00:00,0,0
